"index" "NVAL" "VOLUME" "FOLDER" "DATE"
"79" 48 767.807 1029 "20140908-beads-d6.0" 2014-09-08
"80" 48 796.896 808 "20140908-beads-d6.0" 2014-09-08
"81" 49 660.502 261 "20140909-beads-d6.0" 2014-09-09
"82" 49 648.993 143 "20140909-beads-d6.0" 2014-09-09
"83" 52 857.156 725 "20140923-20140917_Beads-d6.0" 2014-09-23
"84" 52 855.336 742 "20140923-20140917_Beads-d6.0" 2014-09-23
"85" 53 683.018 541 "20140925-20140918_beads-d6.0-2" 2014-09-25
"86" 53 676.07 214 "20140925-20140918_beads-d6.0-2" 2014-09-25
"87" 54 787.325 283 "20170117-20170117_Beads-d0.0" 2017-01-17
"88" 54 799.08 287 "20170117-20170117_Beads-d0.0" 2017-01-17
"89" 54 826.94 184 "20170117-20170117_Beads-d0.0" 2017-01-17
"90" 56 727.234 1327 "20170425-20170425_Beads-d6.0" 2017-04-25
"91" 56 694.907 1606 "20170425-20170425_Beads-d6.0" 2017-04-25
"92" 56 776.321 529 "20170425-20170425_Beads-d6.0" 2017-04-25
"93" 58 690.683 1930 "20170428-20170428_Beads-d6.0" 2017-04-28
"94" 58 765.583 1237 "20170428-20170428_Beads-d6.0" 2017-04-28
