"index" "NVAL" "VOLUME" "FOLDER" "DATE"
"79" 48 770.126 2022 "20140908-beads-d6.0" 2014-09-08
"80" 48 753.106 1958 "20140908-beads-d6.0" 2014-09-08
"81" 49 715.551 875 "20140909-beads-d6.0" 2014-09-09
"82" 49 727.892 900 "20140909-beads-d6.0" 2014-09-09
"83" 52 745.768 1250 "20140923-20140917_Beads-d6.0" 2014-09-23
"84" 52 763.949 1436 "20140923-20140917_Beads-d6.0" 2014-09-23
"85" 53 741.795 1105 "20140925-20140918_beads-d6.0-2" 2014-09-25
"86" 53 750.009 931 "20140925-20140918_beads-d6.0-2" 2014-09-25
"87" 54 728.219 785 "20170117-20170117_Beads-d0.0" 2017-01-17
"88" 54 692.422 484 "20170117-20170117_Beads-d0.0" 2017-01-17
"89" 54 790.322 559 "20170117-20170117_Beads-d0.0" 2017-01-17
"90" 56 640.968 4316 "20170425-20170425_Beads-d6.0" 2017-04-25
"91" 56 665.726 3576 "20170425-20170425_Beads-d6.0" 2017-04-25
"92" 56 648.57 2440 "20170425-20170425_Beads-d6.0" 2017-04-25
"93" 58 661.428 5277 "20170428-20170428_Beads-d6.0" 2017-04-28
"94" 58 661.818 4764 "20170428-20170428_Beads-d6.0" 2017-04-28
