EE24 20120130 N2 N2 12.5 6.32E+07 62 4 0 dead
EE24 20120130 N2 N2 12.5 6.32E+07 64 1 0 dead
EE24 20120130 N2 N2 12.5 6.32E+07 66 1 0 dead
EE24 20120130 N2 N2 12.5 6.32E+07 68 2 0 dead
EE24 20120130 N2 N2 12.5 6.32E+07 70 1 0 dead
EE24 20120130 N2 N2 12.5 6.32E+07 72 1 0 dead
EE24 20120130 N2 N2 12.5 6.32E+08 5 2 1 exploded
EE24 20120130 N2 N2 12.5 6.32E+08 7 1 1 "crawled off"
EE24 20120130 N2 N2 12.5 6.32E+08 7 1 1 bagged
EE24 20120130 N2 N2 12.5 6.32E+08 7 1 1 exploded
EE24 20120130 N2 N2 12.5 6.32E+08 9 1 1 bagged
EE24 20120130 N2 N2 12.5 6.32E+08 9 14 1 exploded
EE24 20120130 N2 N2 12.5 6.32E+08 15 12 1 exploded
EE24 20120130 N2 N2 12.5 6.32E+08 32 4 0 dead
EE24 20120130 N2 N2 12.5 6.32E+08 35 2 0 dead
EE24 20120130 N2 N2 12.5 6.32E+08 38 2 0 dead
EE24 20120130 N2 N2 12.5 6.32E+08 40 1 1 "crawled off"
EE24 20120130 N2 N2 12.5 6.32E+08 42 1 0 dead
EE24 20120130 N2 N2 12.5 6.32E+08 44 1 0 dead
EE24 20120130 N2 N2 12.5 6.32E+08 48 1 0 dead
EE24 20120130 N2 N2 12.5 6.32E+08 50 1 0 dead
EE24 20120130 N2 N2 12.5 2.00E+09 5 3 1 exploded
EE24 20120130 N2 N2 12.5 2.00E+09 7 4 1 exploded
EE24 20120130 N2 N2 12.5 2.00E+09 9 7 1 exploded
EE24 20120130 N2 N2 12.5 2.00E+09 15 4 1 exploded
EE24 20120130 N2 N2 12.5 2.00E+09 32 1 0 dead
EE24 20120130 N2 N2 12.5 2.00E+09 40 1 0 dead
EE24 20120130 N2 N2 12.5 2.00E+09 46 1 0 dead
EE24 20120130 N2 N2 12.5 2.00E+09 50 1 0 dead
EE24 20120130 N2 N2 12.5 2.00E+09 54 1 0 dead
