0.704539 0.545028 0.817637 3.69441 1.88969 1.91423 0.610318 0.942532 1.27809 199 3.24293 
0.21351 0.873866 1.40989 5.43428 2.2408 2.27858 6.70411 0.425352 0.967664 387 3.63195 
0.208852 0.413733 0.798177 4.72272 2.0884 2.0433 6.01869 1.17673 1.26596 7 3.33675 
0.206902 0.119057 0.227713 4.36415 1.7015 1.72412 5.44859 3.81766 1.962 7 3.36814 
0.155302 1.62444 1.39408 5.62387 2.36203 2.14084 9.85646 0.080429 0.926751 385 3.97954 
0.510028 1.13549 1.55045 4.05706 2.08676 2.09268 1.36838 0.27771 0.881156 385 3.64372 
0.312744 1.09264 1.61071 4.87118 2.26593 2.22512 3.70504 0.25492 0.872123 385 3.72907 
0.270843 0.475564 1.66216 4.93498 2.32999 2.29717 4.51201 0.673181 0.910662 387 3.75907 
0.307121 1.38996 0.867581 4.63994 2.06732 1.95943 3.5383 0.252019 1.16445 133 3.64232 
0.274174 0.650219 1.44863 4.81768 2.15339 2.34644 4.49483 0.649356 0.962927 387 3.56263 
0.050835 1.19874 1.9461 7.8635 2.66578 2.45417 47.0207 0.149783 0.834273 385 4.33468 
0.188499 0.166206 0.358016 4.64256 1.93333 1.78621 6.15469 2.50678 1.72267 7 3.22081 
0.106399 0.499841 0.887465 5.47515 2.23822 2.1596 15.6104 0.91719 1.20087 135 3.56377 
0.276663 0.485086 0.947114 4.37156 2.06528 2.10054 3.94724 0.954725 1.17492 135 3.30535 
0.859277 0.5596 0.371729 3.59208 1.771 1.7637 0.472753 1.13132 1.86986 71 3.54376 
0.202671 1.08197 1.35184 5.58056 2.3142 2.21705 7.36818 0.287246 0.963613 385 3.6823 
0.40327 0.16058 0.664357 3.79299 1.92122 1.89175 1.97399 2.2149 1.44132 7 3.07476 
0.146303 1.81854 1.67226 6.02552 2.375 2.20726 12.3478 0.0685422 0.866659 385 4.07803 
0.131474 0.367969 0.98525 5.19919 2.25036 2.16271 11.6868 1.12262 1.17829 7 3.53955 
0.303075 0.987057 1.74983 4.59195 2.26509 2.24948 3.85603 0.269433 0.844432 387 3.73903 
0.191656 0.498129 1.2687 4.87557 2.2665 2.20527 7.08088 0.75265 1.02856 131 3.55241 
